Source;Target;Weight;Label;Type
2;145;0.6661099195480347;2 to 145;Undirected
2;146;0.5666123628616333;2 to 146;Undirected
2;147;0.6653355360031128;2 to 147;Undirected
2;150;0.7756189703941345;2 to 150;Undirected
2;152;0.7932486534118652;2 to 152;Undirected
2;153;0.7579880952835083;2 to 153;Undirected
2;155;0.6775252819061279;2 to 155;Undirected
2;160;0.5543938875198364;2 to 160;Undirected
2;183;0.7714274525642395;2 to 183;Undirected
2;184;0.5300323367118835;2 to 184;Undirected
2;186;0.8179080486297607;2 to 186;Undirected
2;187;0.9095460176467896;2 to 187;Undirected
2;189;0.6365349292755127;2 to 189;Undirected
2;192;0.901602566242218;2 to 192;Undirected
2;195;0.6087905168533325;2 to 195;Undirected
2;196;0.6768563985824585;2 to 196;Undirected
2;197;0.596509575843811;2 to 197;Undirected
3;0;0.5561774373054504;3 to 0;Undirected
3;33;0.7063882946968079;3 to 33;Undirected
3;39;0.5978224277496338;3 to 39;Undirected
3;40;0.6774600744247437;3 to 40;Undirected
3;42;0.6300268173217773;3 to 42;Undirected
3;43;0.6116524934768677;3 to 43;Undirected
3;45;0.5899645090103149;3 to 45;Undirected
3;46;0.822432279586792;3 to 46;Undirected
3;47;0.7370260953903198;3 to 47;Undirected
3;48;0.6122545599937439;3 to 48;Undirected
3;49;0.6756508946418762;3 to 49;Undirected
3;51;0.9284157752990723;3 to 51;Undirected
3;55;0.528060793876648;3 to 55;Undirected
3;57;0.5520996451377869;3 to 57;Undirected
3;61;0.6409353017807007;3 to 61;Undirected
3;63;0.6181834936141968;3 to 63;Undirected
3;65;0.6475948095321655;3 to 65;Undirected
3;68;0.668014407157898;3 to 68;Undirected
3;69;0.6543352603912354;3 to 69;Undirected
3;70;0.5213401317596436;3 to 70;Undirected
3;74;0.7185091972351074;3 to 74;Undirected
3;77;0.8676631450653076;3 to 77;Undirected
3;84;0.6073752641677856;3 to 84;Undirected
3;90;0.8592793345451355;3 to 90;Undirected
3;95;0.7634989023208618;3 to 95;Undirected
3;97;0.7755341529846191;3 to 97;Undirected
3;98;0.7631921172142029;3 to 98;Undirected
3;99;0.6960746645927429;3 to 99;Undirected
3;101;0.6398824453353882;3 to 101;Undirected
3;102;0.5854365229606628;3 to 102;Undirected
3;105;0.5431628227233887;3 to 105;Undirected
3;110;0.6292685866355896;3 to 110;Undirected
3;112;0.6565120816230774;3 to 112;Undirected
3;127;0.5535312294960022;3 to 127;Undirected
3;130;0.6868879199028015;3 to 130;Undirected
3;131;0.5074566602706909;3 to 131;Undirected
3;137;0.6982196569442749;3 to 137;Undirected
3;138;0.572185754776001;3 to 138;Undirected
3;141;0.5100030899047852;3 to 141;Undirected
3;143;0.5964622497558594;3 to 143;Undirected
3;144;0.7454812526702881;3 to 144;Undirected
3;146;0.5937218070030212;3 to 146;Undirected
3;148;0.6653755307197571;3 to 148;Undirected
3;149;0.5930190086364746;3 to 149;Undirected
3;155;0.5032304525375366;3 to 155;Undirected
3;158;0.6680794954299927;3 to 158;Undirected
3;159;0.7310739159584045;3 to 159;Undirected
3;173;0.565654456615448;3 to 173;Undirected
3;183;0.5569872260093689;3 to 183;Undirected
3;192;0.5536425709724426;3 to 192;Undirected
4;2;0.5127288699150085;4 to 2;Undirected
4;6;0.6939334869384766;4 to 6;Undirected
4;22;0.620970606803894;4 to 22;Undirected
4;30;0.6220011711120605;4 to 30;Undirected
4;63;0.5826694965362549;4 to 63;Undirected
4;92;0.5996805429458618;4 to 92;Undirected
4;104;0.5529954433441162;4 to 104;Undirected
4;114;0.818571925163269;4 to 114;Undirected
4;121;0.654335618019104;4 to 121;Undirected
4;125;0.5472376942634583;4 to 125;Undirected
4;126;0.593916118144989;4 to 126;Undirected
4;128;0.7324438095092773;4 to 128;Undirected
4;129;0.9495294094085693;4 to 129;Undirected
4;130;0.6088043451309204;4 to 130;Undirected
4;133;0.6178528070449829;4 to 133;Undirected
4;150;0.8405843377113342;4 to 150;Undirected
4;151;0.7495325803756714;4 to 151;Undirected
4;152;0.5890275239944458;4 to 152;Undirected
4;153;0.6485255360603333;4 to 153;Undirected
4;154;0.7842494249343872;4 to 154;Undirected
4;160;0.7671988010406494;4 to 160;Undirected
4;184;0.6705985069274902;4 to 184;Undirected
4;187;0.5379290580749512;4 to 187;Undirected
4;195;0.5089612007141113;4 to 195;Undirected
4;196;0.594102680683136;4 to 196;Undirected
5;66;0.5245557427406311;5 to 66;Undirected
5;94;0.9096571803092957;5 to 94;Undirected
5;121;0.5947637557983398;5 to 121;Undirected
5;124;0.9333510398864746;5 to 124;Undirected
5;162;0.8290435075759888;5 to 162;Undirected
5;184;0.6124179363250732;5 to 184;Undirected
6;1;0.6650725603103638;6 to 1;Undirected
6;2;0.631475031375885;6 to 2;Undirected
6;4;0.6939334869384766;6 to 4;Undirected
6;7;0.5717802047729492;6 to 7;Undirected
6;16;0.8277994990348816;6 to 16;Undirected
6;17;0.8292360901832581;6 to 17;Undirected
6;22;0.574079155921936;6 to 22;Undirected
6;30;0.6533693075180054;6 to 30;Undirected
6;35;0.5846710205078125;6 to 35;Undirected
6;36;0.5459491610527039;6 to 36;Undirected
6;39;0.6304928064346313;6 to 39;Undirected
6;44;0.5552261471748352;6 to 44;Undirected
6;47;0.5395664572715759;6 to 47;Undirected
6;48;0.5427467823028564;6 to 48;Undirected
6;50;0.5735732913017273;6 to 50;Undirected
6;52;0.5925281643867493;6 to 52;Undirected
6;53;0.5393543839454651;6 to 53;Undirected
6;55;0.5278921127319336;6 to 55;Undirected
6;63;0.6498603820800781;6 to 63;Undirected
6;64;0.6360024213790894;6 to 64;Undirected
6;67;0.5404477119445801;6 to 67;Undirected
6;70;0.5395287275314331;6 to 70;Undirected
6;71;0.5333732962608337;6 to 71;Undirected
6;72;0.6398848295211792;6 to 72;Undirected
6;77;0.5333681702613831;6 to 77;Undirected
6;80;0.5140126943588257;6 to 80;Undirected
6;83;0.5103328227996826;6 to 83;Undirected
6;84;0.5259687900543213;6 to 84;Undirected
6;92;0.6036125421524048;6 to 92;Undirected
6;98;0.5093966126441956;6 to 98;Undirected
6;99;0.6288758516311646;6 to 99;Undirected
6;103;0.5596636533737183;6 to 103;Undirected
6;106;0.5065996646881104;6 to 106;Undirected
6;109;0.5112661123275757;6 to 109;Undirected
6;110;0.5230931639671326;6 to 110;Undirected
6;112;0.6059796810150146;6 to 112;Undirected
6;113;0.6394054889678955;6 to 113;Undirected
6;114;0.9005242586135864;6 to 114;Undirected
6;122;0.7357579469680786;6 to 122;Undirected
6;125;0.5558322072029114;6 to 125;Undirected
6;126;0.5655282139778137;6 to 126;Undirected
6;129;0.7976671457290649;6 to 129;Undirected
6;130;0.6573352217674255;6 to 130;Undirected
6;133;0.6283390522003174;6 to 133;Undirected
6;134;0.6993246078491211;6 to 134;Undirected
6;149;0.5014706254005432;6 to 149;Undirected
6;150;0.6798560619354248;6 to 150;Undirected
6;152;0.7950031757354736;6 to 152;Undirected
6;153;0.6015707850456238;6 to 153;Undirected
6;160;0.624784529209137;6 to 160;Undirected
6;187;0.7313718199729919;6 to 187;Undirected
6;192;0.5957915186882019;6 to 192;Undirected
7;6;0.5717802047729492;7 to 6;Undirected
7;8;0.9691786170005798;7 to 8;Undirected
7;45;0.5768666863441467;7 to 45;Undirected
7;80;0.7671310305595398;7 to 80;Undirected
7;83;0.5220218300819397;7 to 83;Undirected
7;112;0.6031399965286255;7 to 112;Undirected
7;119;0.636132001876831;7 to 119;Undirected
7;127;0.538750171661377;7 to 127;Undirected
